,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,PassMath
0,female,,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,yes
1,female,group C,some college,standard,,married,sometimes,yes,0,,5 - 10,yes
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,yes
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,,5 - 10,no
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,yes
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,yes
6,female,group B,some college,standard,completed,widowed,never,no,1,private,5 - 10,yes
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,no
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,yes
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,no
10,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,5 - 10,no
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,no
12,female,group B,high school,standard,none,married,regularly,no,1,private,5 - 10,yes
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,yes
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,no
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,,yes
16,male,group C,high school,standard,,married,sometimes,yes,0,school_bus,5 - 10,yes
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 - 10,no
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,5 - 10,no
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,no
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,5 - 10,yes
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,5 - 10,yes
22,male,group D,,standard,none,married,never,yes,5,,5 - 10,no
23,female,group C,some high school,standard,none,divorced,never,no,3,,5 - 10,yes
24,male,group D,,free/reduced,completed,married,sometimes,yes,2,school_bus,5 - 10,yes
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,5 - 10,yes
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,yes
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,yes
28,male,group C,high school,standard,none,married,sometimes,no,1,private,5 - 10,yes
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,yes
31,female,group B,some college,standard,none,single,sometimes,yes,5,,5 - 10,yes
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 - 10,no
33,male,,some college,standard,none,married,sometimes,no,2,private,5 - 10,no
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,,yes
35,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,5 - 10,yes
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,5 - 10,yes
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,5 - 10,no
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,5 - 10,yes
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,5 - 10,no
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,5 - 10,no
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,,5 - 10,no
43,male,group B,some college,free/reduced,,married,regularly,yes,3,school_bus,5 - 10,yes
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,no
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,yes
47,female,group C,high school,standard,none,married,regularly,yes,,private,5 - 10,yes
49,male,group C,high school,standard,completed,married,sometimes,,3,,5 - 10,yes
50,male,group E,some college,standard,none,married,,no,3,school_bus,> 10,no
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,yes
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,no
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,5 - 10,yes
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,yes
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,5 - 10,no
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,yes
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,5 - 10,no
58,male,group D,,standard,completed,married,regularly,no,1,private,> 10,yes
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,no
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,5 - 10,no
